Ensembl_Gene_ID	Group
ENSDARG00000030781	Top_Maternal_Decay
ENSDARG00000030871	Top_Maternal_Decay
ENSDARG00000030933	Top_Maternal_Decay
ENSDARG00000030933	Top_Maternal_Decay
ENSDARG00000030933	Top_Maternal_Decay
ENSDARG00000030933	Top_Maternal_Decay
ENSDARG00000030949	Top_Maternal_Decay
ENSDARG00000030949	Top_Maternal_Decay
ENSDARG00000031044	Top_Maternal_Decay
ENSDARG00000031044	Top_Maternal_Decay
ENSDARG00000031044	Top_Maternal_Decay
ENSDARG00000031044	Top_Maternal_Decay
ENSDARG00000031293	Top_Maternal_Decay
ENSDARG00000031293	Top_Maternal_Decay
ENSDARG00000031293	Top_Maternal_Decay
ENSDARG00000031293	Top_Maternal_Decay
ENSDARG00000031293	Top_Maternal_Decay
ENSDARG00000031680	Top_Maternal_Decay
ENSDARG00000033647	Top_Maternal_Decay
ENSDARG00000033647	Top_Maternal_Decay
ENSDARG00000033738	Top_Maternal_Decay
ENSDARG00000033738	Top_Maternal_Decay
ENSDARG00000033738	Top_Maternal_Decay
ENSDARG00000033738	Top_Maternal_Decay
ENSDARG00000033738	Top_Maternal_Decay
ENSDARG00000033738	Top_Maternal_Decay
ENSDARG00000033738	Top_Maternal_Decay
ENSDARG00000033738	Top_Maternal_Decay
ENSDARG00000033861	Top_Maternal_Decay
ENSDARG00000033999	Top_Maternal_Decay
ENSDARG00000033999	Top_Maternal_Decay
ENSDARG00000034518	Top_Maternal_Decay
ENSDARG00000034518	Top_Maternal_Decay
ENSDARG00000034957	Top_Maternal_Decay
ENSDARG00000034957	Top_Maternal_Decay
ENSDARG00000035018	Top_Maternal_Decay
ENSDARG00000035018	Top_Maternal_Decay
ENSDARG00000035028	Top_Maternal_Decay
ENSDARG00000035028	Top_Maternal_Decay
ENSDARG00000035171	Top_Maternal_Decay
ENSDARG00000035770	Top_Maternal_Decay
ENSDARG00000035770	Top_Maternal_Decay
ENSDARG00000036214	Top_Maternal_Decay
