read_id,read_type,tail_is_valid,tail_start,tail_end,samples_per_nt,tail_length,file_path
1a9255ae-e485-4bca-949c-c972f0653b08,polyT,TRUE,808,898,7.64,11.79,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
34f1fceb-9a38-4868-b127-3d353f5070ab,invalid,FALSE,,,18.35,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
91fbb718-a584-48d5-bd40-907835430517,invalid,FALSE,,,12.24,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
7a8d8e0a-2f07-48b5-8a6f-bd8124948ec1,polyT,TRUE,538,678,7.73,18.1,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
738826fc-1f30-4889-88e9-d1a55a083af0,polyT,TRUE,538,668,8.83,14.72,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
daabced4-b4b1-4325-8e33-7d8689d840e7,invalid,FALSE,,,8,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
838cdb76-47b0-432c-a1bb-e55a61b819da,polyT,TRUE,2070,2290,7.85,28.04,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
29f35bae-0ddf-4292-a7f4-56f4f730e968,invalid,FALSE,,,7.05,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
de556307-5af9-4b0b-985c-55d9eae7a95c,polyT,TRUE,794,934,7.99,17.51,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
de77726b-4993-40e0-bc54-b59e78999027,polyT,TRUE,644,814,7.98,21.29,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
57be0aa0-5554-467e-b964-e965d5b5360a,polyT,TRUE,826,1006,7.28,24.72,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
438b403d-693e-406a-b278-5dd174101af1,invalid,FALSE,,,12.79,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
b2241a30-fdd3-44f8-8b73-127b4eeb001e,polyT,TRUE,754,894,8.41,16.64,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
bcb50595-c845-48e8-9a43-1e437d97aa55,invalid,FALSE,,,8.81,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
2aa8beca-0161-4a56-905f-643917e60ccf,polyT,TRUE,464,664,7.81,25.62,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
0fae16ab-1887-407b-8bbd-04649ea0cc6d,invalid,FALSE,,,8.73,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
